Date	Time	Resolution	BIAS(wrf-qs)	MAE	RMSE	CORR
21-Feb	7UTC	wrf_100	-0.9324	2.9953	4.2529	0.7229
21-Feb	7UTC	wrf_50	-0.6319	2.7666	3.8641	0.7726
21-Feb	7UTC	wrf_25	-0.5459	2.5929	3.6309	0.8015
21-Feb	7UTC	wrf_10	-0.3889	2.4268	3.4594	0.8206
21-Feb	22UTC	wrf_100	-1.7149	3.1956	4.0458	0.8159
21-Feb	22UTC	wrf_50	-1.5151	2.9648	3.7392	0.8422
21-Feb	22UTC	wrf_25	-1.4918	2.838	3.6793	0.8464
21-Feb	22UTC	wrf_10	-1.4753	2.9222	3.8187	0.8283
2-Mar	7UTC	wrf_100	0.0948	2.2034	2.8921	0.7725
2-Mar	7UTC	wrf_50	0.0313	2.1251	2.862	0.7834
2-Mar	7UTC	wrf_25	0.1347	2.1218	2.8926	0.7729
2-Mar	7UTC	wrf_10	0.1996	2.1059	2.7431	0.7876
2-Mar	22UTC	wrf_100	-0.6099	1.9335	2.5721	0.8414
2-Mar	22UTC	wrf_50	-0.7016	2.0809	2.7291	0.8215
2-Mar	22UTC	wrf_25	-0.7406	2.0999	2.8019	0.815
2-Mar	22UTC	wrf_10	-1.0119	2.3007	2.9244	0.7968
5-Mar	7UTC	wrf_100	-1.2436	2.1371	2.7812	0.8868
5-Mar	7UTC	wrf_50	-0.8901	2.3037	3.212	0.8259
5-Mar	7UTC	wrf_25	-0.6468	2.2294	3.0022	0.8423
5-Mar	7UTC	wrf_10	-0.5843	2.2574	3.0878	0.833
5-Mar	22UTC	wrf_100	-0.0495	2.2003	3.0743	0.8419
5-Mar	22UTC	wrf_50	-0.0026	2.5619	3.4471	0.8067
5-Mar	22UTC	wrf_25	0.2734	2.5634	3.3979	0.8171
5-Mar	22UTC	wrf_10	0.6475	2.8062	3.6805	0.7895
6-Mar	7UTC	wrf_100	0.1996	2.1059	2.7431	0.7876
6-Mar	7UTC	wrf_50	0.1347	2.1218	2.8926	0.7729
6-Mar	7UTC	wrf_25	0.0313	2.1251	2.862	0.7834
6-Mar	7UTC	wrf_10	0.0948	2.2034	2.8921	0.7725
6-Mar	22UTC	wrf_100	-1.0119	2.3007	2.9244	0.7968
6-Mar	22UTC	wrf_50	-0.7406	2.0999	2.8019	0.815
6-Mar	22UTC	wrf_25	-0.7016	2.0809	2.7291	0.8215
6-Mar	22UTC	wrf_10	-0.6099	1.9335	2.5721	0.8414
9-Mar	7UTC	wrf_100	-3.002	3.3595	4.3901	0.8554
9-Mar	7UTC	wrf_50	-2.6989	3.1376	4.1631	0.868
9-Mar	7UTC	wrf_25	-2.2635	2.9665	3.8997	0.8641
9-Mar	7UTC	wrf_10	-2.2577	3.0742	4.0569	0.8451
9-Mar	22UTC	wrf_100	-2.0033	2.6402	3.3425	0.7687
9-Mar	22UTC	wrf_50	-1.2929	2.7324	3.4336	0.7078
9-Mar	22UTC	wrf_25	-1.0594	2.8704	3.6371	0.6896
9-Mar	22UTC	wrf_10	-1.2635	2.9604	3.7682	0.7274
