lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   67.0500  -22.8200    0.0000    0.0000  266.5951    1.9612  277.7031  448.7752  627.1793    0.8233   17.7411 1004.2180
   67.1900  -22.9500    0.0000    0.0000  265.4830    1.8512  276.8109  420.8042  641.6428    0.8225   17.7100 1005.0112
   67.2500  -23.6300    0.0000    0.0000  264.5715    1.7464  275.4244  388.0600  642.6525    0.8495   18.2828 1005.3192
   67.1400  -23.8700    0.0000    0.0000  265.4491    1.8431  275.9419  416.8551  649.3721    0.8828   18.8576 1004.4977
   67.0300  -24.1000    0.0000    0.0000  266.4490    1.9576  276.3400  433.1131  631.4799    0.9077   19.3445 1003.5380
   66.9200  -24.3100    0.0000    0.0000  267.2131    2.0306  276.3422  430.1690  593.6324    0.9229   19.6700 1002.7125
   66.8100  -24.5200    0.0000    0.0000  268.0282    2.1365  276.4178  430.6472  562.2879    0.9473   20.1559 1001.7495
   66.6900  -24.6900    0.0000    0.0000  268.9836    2.2645  276.9575  446.6747  541.5814    0.9601   20.3651 1000.8326
   66.5600  -24.8600    0.0000    0.0000  269.7742    2.3369  277.4648  481.8999  540.4037    0.9891   20.8891  999.6827
   66.4300  -25.0300    0.0000    0.0000  270.4164    2.5872  277.9714  483.9445  545.1135    1.0126   21.3048  998.6973
   66.3000  -25.1800    0.0000    0.0000  270.9010    2.9209  278.4667  455.7948  542.6190    1.0101   21.3063  997.6766
   66.1800  -25.3800    0.0000    0.0000  271.0401    3.0053  278.7092  450.7376  541.2328    0.9983   21.0988  997.0649
   66.0600  -25.6000    0.0000    0.0000  271.1473    3.0656  278.8994  456.2454  549.8555    1.0033   21.1790  996.3135
   65.9500  -25.7900    0.0000    0.0000  271.3282    3.1265  279.0563  467.3368  560.2323    1.0219   21.4990  995.5489
   65.8200  -25.9600    0.0000    0.0000  271.7402    3.2325  279.3530  466.8557  547.3016    1.0170   21.4525  994.5393
   65.6900  -26.1200    0.0000    0.0000  272.1353    3.3239  279.6746  445.5894  508.5642    0.9682   20.6307  993.8007
   65.5600  -26.2900    0.0000    0.0000  272.3771    3.3823  279.9927  414.5492  464.0521    0.8941   19.3256  993.1224
   65.4400  -26.4600    0.0000    0.0000  272.5565    3.4469  280.1244  388.2697  432.5982    0.8499   18.5397  992.4656
   65.3100  -26.6200    0.0000    0.0000  273.3387    3.6882  279.9911  332.2958  364.5039    0.8232   18.1329  991.5532
   65.1500  -26.8300    0.0000    0.0000  274.2421    3.9152  279.6627  272.2523  285.3740    0.7988   17.7939  990.5563
