lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   67.0500  -22.8200    0.0000    0.0000  266.9716    2.0219  277.7031  478.3972  658.0274    0.8628   18.0582 1003.8657
   67.1900  -22.9500    0.0000    0.0000  265.9846    1.9003  276.8109  446.5601  661.3247    0.8572   17.9535 1004.7044
   67.2500  -23.6300    0.0000    0.0000  265.0415    1.8151  275.4244  408.4314  663.9500    0.8862   18.4971 1004.9190
   67.1400  -23.8700    0.0000    0.0000  266.0232    1.9248  275.9419  433.4982  657.7056    0.9150   19.0263 1003.9998
   67.0300  -24.1000    0.0000    0.0000  266.9629    2.0220  276.3400  449.8698  636.2438    0.9344   19.4000 1003.0528
   66.9200  -24.3100    0.0000    0.0000  267.6030    2.0956  276.3422  447.9616  606.0638    0.9524   19.7424 1002.2932
   66.8100  -24.5200    0.0000    0.0000  268.4088    2.2143  276.4178  441.3302  566.8084    0.9697   20.1050 1001.4200
   66.6900  -24.6900    0.0000    0.0000  269.4093    2.3668  276.9575  454.9330  542.7745    0.9848   20.3534 1000.4817
   66.5600  -24.8600    0.0000    0.0000  270.3095    2.4718  277.4648  480.8854  527.1797    1.0067   20.7555  999.2918
   66.4300  -25.0300    0.0000    0.0000  270.8893    2.5834  277.9714  497.9486  524.7405    1.0135   20.8852  998.4105
   66.3000  -25.1800    0.0000    0.0000  271.0472    2.9093  278.4667  477.2950  554.5206    1.0222   21.0351  997.5286
   66.1800  -25.3800    0.0000    0.0000  271.3122    3.0947  278.7092  455.8295  546.5448    1.0144   20.9119  996.7457
   66.0600  -25.6000    0.0000    0.0000  271.5581    3.2035  278.8994  450.5602  542.6907    1.0160   20.9448  995.9202
   65.9500  -25.7900    0.0000    0.0000  271.7218    3.2477  279.0563  457.2931  545.3926    1.0218   21.0402  995.2376
   65.8200  -25.9600    0.0000    0.0000  271.9447    3.2960  279.3530  459.9124  537.5222    1.0036   20.7307  994.3997
   65.6900  -26.1200    0.0000    0.0000  272.2432    3.3692  279.6746  442.4265  506.0934    0.9560   19.9500  993.6035
   65.5600  -26.2900    0.0000    0.0000  272.3972    3.4033  279.9927  420.5013  472.8237    0.8913   18.8484  992.8767
   65.4400  -26.4600    0.0000    0.0000  272.7453    3.5076  280.1244  394.9227  438.5231    0.8594   18.2974  992.2024
   65.3100  -26.6200    0.0000    0.0000  273.7150    3.7960  279.9911  329.3844  356.3914    0.8310   17.8694  991.2882
   65.1500  -26.8300    0.0000    0.0000  274.3767    3.9266  279.6627  286.1917  293.8520    0.8184   17.7709  990.2235
