lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   64.4800  -31.5900    0.0000    0.0000  274.2811    3.9970  279.7298  284.0125  301.7119    0.8362   18.5434  984.5992
   64.5700  -31.7400    0.0000    0.0000  273.8521    3.8868  279.7983  301.4383  328.0320    0.8327   18.4395  985.2825
   64.6500  -31.8900    0.0000    0.0000  273.3674    3.7366  279.7579  319.4560  352.8295    0.8321   18.3942  985.8914
   64.7400  -32.0400    0.0000    0.0000  272.7411    3.5461  279.5754  333.0764  375.6408    0.8276   18.2782  986.5782
   64.8200  -32.1900    0.0000    0.0000  272.0316    3.3615  279.2413  338.9811  396.2122    0.8257   18.2150  987.2275
   64.9100  -32.3400    0.0000    0.0000  271.3051    3.1391  278.7729  346.4514  414.1722    0.8298   18.2713  987.8519
   64.9900  -32.5100    0.0000    0.0000  270.7373    2.9342  278.2122  346.5654  417.2546    0.8324   18.3166  988.4578
   65.0800  -32.6600    0.0000    0.0000  270.1935    2.7394  277.4423  332.0992  403.0046    0.8277   18.2472  989.0777
   65.1600  -32.8100    0.0000    0.0000  269.5167    2.5532  276.5735  312.2030  388.8521    0.8196   18.1124  989.7209
   65.2500  -32.9600    0.0000    0.0000  268.8884    2.4393  275.5953  278.9677  364.6320    0.8084   17.9333  990.3330
   65.3300  -33.1100    0.0000    0.0000  268.3790    2.2784  274.6522  254.9369  333.9125    0.7928   17.6795  990.8997
   65.4200  -33.2800    0.0000    0.0000  267.6756    2.0713  273.6973  233.5662  305.8345    0.7609   17.1109  991.5578
   65.5000  -33.4400    0.0000    0.2884  267.4156    1.8831  270.5451  130.6169  135.3889    0.6977   16.4390  992.1613
   65.5900  -33.5900    0.0000    0.3780  266.8332    1.7624  269.0639   96.9219   87.8797    0.6523   15.6507  992.8098
   65.6700  -33.7500    0.0000    0.3780  266.4385    1.6956  268.7070   92.4858   86.1119    0.6268   15.1025  993.3901
   65.7600  -33.9200    0.0000    0.5694  265.4418    1.5312  266.8788   70.6314   53.0478    0.5868   14.3449  993.9418
   65.8600  -34.1300    0.0000    0.6970  264.6463    1.4152  265.5508   54.8486   31.7223    0.5448   13.4545  994.5140
