lats     lons    elev(m)   SeaIce(1=ice)    T2m(K)    Q2m(g/kg)   Tsurf(K)   LHFlx(W/m2)   SHFlx(W/m2)  ustar(m/s)   10mwind(m/s)    slp(hPa) 
   65.2900  -25.9100    0.0565    0.0000  276.3268    4.5218  279.2894  116.6172  104.2979    0.6128   14.2475  985.9817
   65.3600  -26.1500    0.0371    0.0000  276.3286    4.5472  279.5281  127.1003  116.0248    0.6457   14.8723  986.1511
   65.4400  -26.3800    0.0000    0.0000  276.1543    4.5190  279.6251  142.7113  134.5654    0.6912   15.7244  986.4727
   65.5100  -26.6000    0.0000    0.0000  275.8776    4.4312  279.4224  153.0888  147.7666    0.7108   16.0580  986.7033
   65.5800  -26.8300    0.0000    0.0000  275.6600    4.3601  279.2644  162.0041  158.5867    0.7266   16.3288  986.8863
   65.6200  -27.1300    0.0000    0.0000  275.5779    4.3233  279.2124  169.1864  164.8912    0.7351   16.4738  986.9641
   65.7000  -27.3100    0.0559    0.0000  274.9860    4.1574  278.5710  171.7481  172.5996    0.7609   16.9291  987.4056
   65.8000  -27.4500    0.1323    0.0000  274.2422    3.9556  277.7391  171.2111  179.1019    0.7904   17.4548  987.9511
   65.9100  -27.7400    0.2464    0.0000  273.3364    3.7095  276.6546  166.4957  181.2321    0.8225   18.0351  988.6033
   65.9200  -28.2300    0.2913    0.0000  273.0335    3.6173  276.2761  167.2873  182.2176    0.8344   18.2510  988.8262
   65.8100  -28.4500    0.1929    0.0000  273.6805    3.7764  277.1030  179.1019  187.5267    0.8170   17.9264  988.3862
   65.7000  -28.6500    0.0917    0.0000  274.1148    3.8798  277.6013  182.3722  185.8228    0.7942   17.5180  988.1309
   65.5900  -28.8500    0.0021    0.0000  274.4626    3.9617  277.9867  183.8682  183.1897    0.7733   17.1451  987.9362
   65.4600  -29.1000    0.0000    0.0000  274.5154    3.9781  277.8070  167.0332  165.5458    0.7461   16.6658  987.8415
   65.3000  -29.1400    0.0938    0.0000  275.1436    4.1489  278.2582  154.5601  147.6694    0.7063   15.9400  987.2151
   65.2100  -28.9500    0.0307    0.0000  275.7697    4.3152  278.8719  153.9773  141.9162    0.6819   15.4801  986.6033
   65.1400  -28.7400    0.0000    0.0000  276.2661    4.4476  279.3359  151.8907  135.7012    0.6604   15.0788  986.1163
   65.0700  -28.5200    0.0000    0.0000  276.4415    4.4955  279.4066  144.4022  126.6171    0.6430   14.7639  985.9266
   65.0100  -28.3100    0.0355    0.0000  276.6420    4.5490  279.4832  134.6553  115.3200    0.6162   14.2642  985.6823
   64.9100  -28.0300    0.1391    0.0000  277.0055    4.6462  279.6232  115.4841   93.7354    0.5606   13.2109  985.2123
   64.8700  -27.6900    0.2389    0.0000  277.1490    4.6900  279.6982  105.0262   83.2552    0.5290   12.6002  984.9998
   64.9400  -27.5200    0.2374    0.0000  276.9644    4.6496  279.6594  111.7424   92.2716    0.5499   12.9867  985.2258
   64.9900  -27.3200    0.2463    0.0000  276.8557    4.6300  279.6514  114.8219   97.0686    0.5613   13.1983  985.3627
   65.0300  -27.1200    0.2543    0.0000  276.7830    4.6206  279.6593  116.3473   99.9976    0.5694   13.3500  985.4620
   65.0500  -26.8800    0.2772    0.0000  276.7774    4.6302  279.6966  114.3691   99.0018    0.5682   13.3285  985.4802
   65.0800  -26.6500    0.2694    0.0000  276.7927    4.6454  279.7415  112.6836   97.7905    0.5706   13.3844  985.4966
   65.1500  -26.3600    0.2043    0.0000  276.6848    4.6300  279.7470  118.0427  104.3709    0.5963   13.8921  985.6934
   65.2600  -26.2100    0.1082    0.0000  276.4754    4.5786  279.5919  122.1978  109.9126    0.6217   14.3984  985.9433
   65.3500  -26.3300    0.0581    0.0000  276.3975    4.5774  279.7054  131.3434  120.4776    0.6549   15.0397  986.1598
   65.4400  -26.4800    0.0000    0.0000  276.1374    4.5101  279.6153  144.6709  136.1421    0.6933   15.7596  986.4897
   65.5300  -26.6700    0.0000    0.0000  275.8107    4.4094  279.3737  155.8156  151.0842    0.7156   16.1411  986.7595
   65.6100  -26.8700    0.0000    0.0000  275.5720    4.3337  279.1988  164.7479  162.4622    0.7325   16.4287  986.9584
   65.6800  -27.0900    0.0180    0.0000  275.2684    4.2413  278.9118  170.9910  171.0281    0.7495   16.7248  987.1974
   65.7600  -27.3000    0.0893    0.0000  274.5937    4.0537  278.1537  171.8119  177.3580    0.7770   17.2150  987.6950
   65.8400  -27.5100    0.1654    0.0000  273.9437    3.8752  277.3966  170.2923  180.9088    0.8016   17.6562  988.1682
   65.9400  -27.8100    0.2802    0.0000  273.0811    3.6411  276.3426  164.4455  181.1480    0.8309   18.1894  988.7856
   65.2900  -28.4400    0.0000    0.0000  275.7754    4.3137  279.1391  172.7993  161.0913    0.7093   15.9608  986.6473
   65.3600  -28.6600    0.0000    0.0000  275.4484    4.2257  278.8578  176.0442  167.0709    0.7258   16.2657  986.9699
   65.4600  -28.9300    0.0000    0.0000  274.7528    4.0405  278.1339  173.6378  170.3335    0.7474   16.6765  987.6318
